rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_month,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_month,created_year,created_month,created_date,gross_tertiary_education_enrollment_percent,population,unemployment_rate,urban_population,latitude,longitude
231,Rans Entertainment,25400000,6430853035,People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,942.0,6.0,62.0,58487000.0,14600,233900,175500,2800000,100000.0,2015.0,Dec,27.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
232,LankyBox,25400000,34300482066,Comedy,LankyBox,8775,United States,US,Games,29.0,69.0,18.0,815341000.0,203800,3300000,2400000,39100000,600000.0,2016.0,Jul,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
233,Coldplay,25300000,17331663193,Music,Coldplay,398,United Kingdom,GB,Music,160.0,8.0,70.0,198875000.0,49700,795500,596600,9500000,100000.0,2010.0,Jan,3.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
234,Las Ratitas,25200000,9602246828,People & Blogs,LAS RATITAS,4,,,People,4051936.0,,7690.0,11.0,0,0,0,0,,2019.0,May,31.0,,,,,,
235,WB Kids,25200000,11081602368,People & Blogs,WB Kids,2025,United States,US,Film,375.0,70.0,16.0,140319000.0,35100,561300,421000,6700000,300000.0,2015.0,Mar,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
236,ABPLIVE,25200000,7968363381,People & Blogs,ABPLIVE,12,,,People,4026389.0,,7421.0,2.0,0,0,0,0,,2014.0,Jul,26.0,,,,,,
237,Chris Brown,25200000,15520569496,Music,ChrisBrown,0,,,,3612215.0,,,,0,0,0,0,,,,,,,,,,
238,The Lallantop,25200000,10409352249,News & Politics,The Lallantop,51129,India,IN,News,408.0,52.0,6.0,273920000.0,68500,1100000,821800,13100000,300000.0,2015.0,Mar,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
239,RihannaVEVO,25100000,19458807708,Music,RihannaVEVO,118,United States,US,Music,130.0,71.0,72.0,94246000.0,23600,377000,282700,4500000,,2009.0,May,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
240,WatchMojo.com,25100000,16357064198,Music,WatchMojo.com,24837,Canada,CA,Entertainment,180.0,6.0,64.0,49009000.0,12300,196000,147000,2400000,,2007.0,Jan,25.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
241,TRANS7 OFFICIAL,25000000,14169516119,Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,251.0,7.0,64.0,123189000.0,30800,492800,369600,5900000,100000.0,2014.0,Sep,4.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
242,Anuel AA,25000000,14827085149,Music,Anuel AA,147,Colombia,CO,Music,225.0,6.0,73.0,284144000.0,71000,1100000,852400,13600000,300000.0,2016.0,Sep,8.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
243,Dan Rhodes,24800000,17387583720,Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157.0,9.0,66.0,331889000.0,83000,1300000,995700,15900000,500000.0,2015.0,Oct,30.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
244,Yuya,24800000,2588501115,Howto & Style,Yuya,672,Mexico,MX,Howto,3505.0,9.0,6.0,336291.0,84,1300,1000,16100,,2009.0,Sep,20.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
245,America's Got Talent,24800000,3699352704,Entertainment,America's Got Talent,1894,United States,US,Entertainment,2122.0,72.0,65.0,134412000.0,33600,537600,403200,6500000,400000.0,2006.0,Jun,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
246,mujjuu___14,24800000,14655527943,People & Blogs,mujjuu___14,872,,,People,234.0,,8.0,400222000.0,100100,1600000,1200000,19200000,900000.0,2020.0,May,18.0,,,,,,
247,EminemVEVO,24700000,20531704527,Music,EminemVEVO,104,United States,US,Music,115.0,73.0,74.0,139443000.0,34900,557800,418300,6700000,100000.0,2009.0,May,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
248,Chloe Ting,24700000,2994726412,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897.0,2.0,7.0,23263000.0,5800,93100,69800,1100000,,2011.0,Aug,17.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
249,KatyPerryVEVO,24600000,23755792542,Music,KatyPerryVEVO,175,United States,US,Music,82.0,74.0,75.0,88940000.0,22200,355800,266800,4300000,100000.0,2009.0,Dec,13.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
250,Mark Rober,24600000,3647987299,Science & Technology,Mark Rober,120,United States,US,Tech,2178.0,74.0,3.0,88625000.0,22200,354500,265900,4300000,200000.0,2011.0,Oct,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
251,1theK (�����,24500000,23962070944,Music,1theK (�����,18950,South Korea,KR,Entertainment,79.0,6.0,67.0,105567000.0,26400,422300,316700,5100000,,2011.0,Jan,31.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
252,Like Nastya AE,24400000,12385924995,Entertainment,Like Nastya AE,658,United States,US,Entertainment,312.0,75.0,68.0,169865000.0,42500,679500,509600,8200000,400000.0,2018.0,Dec,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
253,Amit Bhadana,24300000,2380248899,Entertainment,Amit Bhadana,17,,,People,4054185.0,,7710.0,5.0,0,0,0,0,,2009.0,Dec,31.0,,,,,,
254,Pen Movies,24300000,6608773195,Film & Animation,Pen Movies,1667,India,IN,Film,903.0,53.0,17.0,94853000.0,23700,379400,284600,4600000,300000.0,2014.0,Mar,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
255,MrBeast en Espa��,24200000,2700914170,Entertainment,MrBeast en Espa��,67,Mexico,MX,Entertainment,3309.0,10.0,70.0,33590000.0,8400,134400,100800,1600000,100000.0,2021.0,Jul,9.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
256,shfa show India,24200000,15724160183,,shfa show India,469,United Arab Emirates,AE,People,203.0,3.0,9.0,151208000.0,37800,604800,453600,7300000,200000.0,2019.0,Apr,1.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117.0,77.0,15.0,328503000.0,82100,1300000,985500,15800000,100000.0,2019.0,May,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
258,Alejo Igoa,24100000,10999000479,Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376.0,4.0,71.0,401512000.0,100400,1600000,1200000,19300000,600000.0,2014.0,Jan,17.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
259,Daniel LaBelle,24100000,12916159065,Comedy,Daniel LaBelle,287,,,Comedy,290.0,,14.0,398765000.0,99700,1600000,1200000,19100000,700000.0,2009.0,Mar,11.0,,,,,,
260,netd m��,24100000,56106087508,Music,netd m��,23491,Turkey,TR,Music,14.0,2.0,76.0,424815000.0,106200,1700000,1300000,20400000,200000.0,2014.0,Jan,23.0,23.9,83429615.0,13.49,63097818.0,38.963745,35.243322
261,DJ Snake,24100000,8425505919,Music,DJ Snake,252,United States,US,Music,602.0,77.0,76.0,63293000.0,15800,253200,189900,3000000,,2008.0,Sep,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
262,Diana and Roma ARA,24100000,11041261296,,Diana and Roma ARA,590,United States,US,Entertainment,379.0,76.0,70.0,66884000.0,16700,267500,200700,3200000,200000.0,2019.0,Feb,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
263,KSI,24100000,6002166932,Entertainment,KSI,1252,United Kingdom,GB,Music,1053.0,10.0,76.0,5439000.0,1400,21800,16300,261100,,2009.0,Jul,25.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
264,Spider Slack,24000000,13943030228,Comedy,Spider Slack,901,Brazil,BR,Comedy,252.0,13.0,14.0,761451000.0,190400,3000000,2300000,36500000,1100000.0,2020.0,May,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
265,Goldmines Movies,24000000,5652938599,Film & Animation,Ti Ti,3,,,People,4057888.0,,7725.0,3.0,0,0,0,0,,2018.0,Apr,30.0,,,,,,
266,Preston,24000000,8279004442,Gaming,Preston,4009,United States,US,Entertainment,621.0,78.0,72.0,151697000.0,37900,606800,455100,7300000,200000.0,2012.0,Jul,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
267,James Charles,23900000,4067878931,Entertainment,James Charles,505,United States,US,Entertainment,1860.0,79.0,73.0,58126000.0,14500,232500,174400,2800000,100000.0,2015.0,Dec,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
268,Collins Key,23900000,6582932625,Entertainment,Collins Key,257,United States,US,Entertainment,911.0,79.0,73.0,10853000.0,2700,43400,32600,520900,,2011.0,Aug,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
269,Diana and Roma EN,23900000,7213499085,People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787.0,79.0,73.0,177769000.0,44400,711100,533300,8500000,300000.0,2011.0,Dec,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
270,Venus Entertainment,23800000,5663125358,Entertainment,Venus Entertainment,70,,,Entertainment,367929.0,,2500.0,31633.0,8,127,95,1500,,2016.0,May,17.0,,,,,,
271,Troom Troom,23800000,10414479943,Howto & Style,Troom Troom,2425,United States,US,Howto,412.0,80.0,8.0,98052000.0,24500,392200,294200,4700000,100000.0,2015.0,Sep,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
272,Enrique Iglesias,23800000,17688774915,Music,Enrique Iglesias,443,United States,US,Music,154.0,80.0,77.0,122914000.0,30700,491700,368700,5900000,100000.0,2007.0,Apr,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
273,Ninja,23700000,2543809954,Gaming,Ninja,1732,United States,US,Games,3590.0,81.0,19.0,8368000.0,2100,33500,25100,401700,,2011.0,Nov,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
274,FaZe Rug,23700000,7451792132,Gaming,FaZeRug,0,Canada,CA,Games,4057944.0,3885.0,7268.0,,0,0,0,0,1.0,2012.0,Nov,30.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
275,Mister Max,23700000,15510153803,People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208.0,11.0,74.0,32817000.0,8200,131300,98400,1600000,,2014.0,Sep,22.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
276,That Little Puff,23700000,20289689389,Pets & Animals,That Little Puff,769,United States,US,Animals,118.0,81.0,1.0,755054000.0,188800,3000000,2300000,36200000,1100000.0,2020.0,Aug,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
277,NickyJamTV,23600000,15901824841,Music,NickyJamTV,392,,,Music,193.0,3.0,78.0,77927000.0,19500,311700,233800,3700000,100000.0,2012.0,Jan,10.0,,,,,,
278,Juan De Dios Pantoja,23600000,2135644776,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529.0,11.0,10.0,46862000.0,11700,187400,140600,2200000,200000.0,2014.0,Jun,9.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
279,Logan Paul,23600000,5994002464,Entertainment,Logan Paul,719,United States,US,Entertainment,1057.0,82.0,75.0,10803000.0,2700,43200,32400,518600,,2015.0,Aug,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
280,Maya and Mary,23600000,6766461070,Entertainment,Maya and Mary,552,United States,US,Entertainment,883.0,82.0,75.0,44542000.0,11100,178200,133600,2100000,400000.0,2013.0,Aug,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
281,Peppa Pig Espa���������,23600000,7920637200,Film & Animation,Peppa Pig Espa���������,1251,United Kingdom,GB,Film,668.0,12.0,19.0,53589000.0,13400,214400,160800,2600000,100000.0,2014.0,Jul,28.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
282,Jelly,23500000,14777034543,Gaming,Jelly,6066,United Kingdom,GB,Games,229.0,13.0,20.0,41669000.0,10400,166700,125000,2000000,,2014.0,May,27.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
283,Miss Katy,23500000,14696994366,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235.0,13.0,76.0,59629000.0,14900,238500,178900,2900000,,2014.0,Nov,17.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
284,Tilak,23400000,9465863821,Film & Animation,Tilak,6672,India,IN,Film,493.0,56.0,20.0,367347000.0,91800,1500000,1100000,17600000,900000.0,2020.0,Oct,10.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
285,Valentina Pontes ofc,23400000,7926899136,Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,667.0,14.0,77.0,28285000.0,7100,113100,84900,1400000,,2014.0,Apr,14.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
286,Sesame Street,23300000,22471357411,Entertainment,Sesame Street,3657,United States,US,Entertainment,99.0,83.0,78.0,124187000.0,31000,496700,372600,6000000,100000.0,2006.0,Jan,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
287,Happy Lives,23200000,2634,Science & Technology,Happy Lives,1,United States,US,Entertainment,4053372.0,84.0,79.0,6589000000.0,0,0,0,0,100000.0,2016.0,Mar,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
288,Lady Gaga,23200000,15751661213,People & Blogs,Lady Gaga,172,United States,US,Music,198.0,83.0,79.0,143169000.0,35800,572700,429500,6900000,100000.0,2008.0,May,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
289,Akshay Nagwadiya,23200000,7966720147,Entertainment,Akshay Nagwadiya,595,,,Entertainment,660.0,,79.0,321179000.0,80300,1300000,963500,15400000,900000.0,2017.0,Oct,25.0,,,,,,
290,Wave Music Bhojpuri,23100000,12889240875,Music,Wave Music Bhojpuri,22578,India,IN,Music,293.0,59.0,81.0,52678000.0,13200,210700,158000,2500000,100000.0,2014.0,Aug,10.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
291,GMM GRAMMY OFFICIAL,23100000,25579831081,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68.0,4.0,81.0,130233000.0,32600,520900,390700,6300000,,2010.0,Nov,8.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
292,TED,23100000,2551113422,People & Blogs,TED,4445,United States,US,Tech,3568.0,85.0,4.0,13246000.0,3300,53000,39700,635800,100000.0,2006.0,Dec,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
293,unknown boy varun,23100000,9299371231,Music,unknown boy varun,456,India,IN,Music,506.0,58.0,80.0,304021000.0,76000,1200000,912100,14600000,700000.0,2016.0,Sep,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,282.0,85.0,81.0,128448000.0,32100,513800,385300,6200000,700000.0,2013.0,Aug,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
295,Tsuriki Show,23000000,31494513067,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34.0,1.0,15.0,756717000.0,189200,3000000,2300000,36300000,800000.0,2019.0,Jul,10.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
296,Technical Guruji,23000000,3378047383,Science & Technology,Technical Guruji,5041,India,IN,Tech,2420.0,60.0,5.0,22262000.0,5600,89000,66800,1100000,,2015.0,Oct,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
297,DrossRotzank,23000000,6041264489,Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,1040.0,5.0,80.0,35539000.0,8900,142200,106600,1700000,100000.0,2006.0,Mar,9.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
298,White Hill Music,23000000,10939966484,Entertainment,White Hill Music,5718,India,IN,Music,382.0,60.0,82.0,93183000.0,23300,372700,279500,4500000,100000.0,2014.0,Mar,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
299,Ultra Movie Parlour,22900000,5320485069,Movies,Ultra Movie Parlour,1670,India,IN,Film,1248.0,61.0,22.0,118846000.0,0,0,0,0,300000.0,2011.0,May,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
300,Alan Becker,22900000,5380073627,Film & Animation,Alan Becker,0,United States,US,Games,4057944.0,7700.0,7453.0,,0,0,0,0,1.0,2006.0,Mar,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
301,toyorbabytv,22900000,16298342829,Music,toyorbabytv,1159,Jordan,JO,Music,181.0,2.0,83.0,169056000.0,42300,676200,507200,8100000,300000.0,2012.0,Nov,1.0,34.4,10101694.0,14.72,9213048.0,30.585164,36.238414
302,BabyBus - Canciones Infantiles & Videos para Ni��,22900000,13206471140,Education,BabyBus - Canciones Infantiles & Videos para�,1251,Mexico,MX,Education,278.0,12.0,17.0,136821000.0,34200,547300,410500,6600000,200000.0,2018.0,Mar,19.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
303,KL BRO Biju Rithvik,22800000,17988347989,Entertainment,KL BRO Biju Rithvik,1841,,,Entertainment,143.0,,79.0,2033000000.0,508100,8100000,6100000,97600000,3200000.0,2020.0,Jul,21.0,,,,,,
304,Vania Mania Kids,22700000,10115316784,People & Blogs,Vania Mania Kids,985,United States,US,Education,438.0,87.0,18.0,155215000.0,38800,620900,465600,7500000,300000.0,2015.0,Sep,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
305,Like Nastya PRT,22700000,11568118121,Entertainment,Like Nastya PRT,654,,,Entertainment,344.0,,82.0,96613000.0,24200,386500,289800,4600000,100000.0,2019.0,Apr,9.0,,,,,,
306,Sun TV,22600000,20847038152,People & Blogs,Sun TV,60964,India,IN,Entertainment,109.0,63.0,82.0,982238000.0,245600,3900000,2900000,47100000,600000.0,2016.0,Feb,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
307,Heroindori,22600000,9223534599,Comedy,Heroindori,495,India,IN,Entertainment,508.0,62.0,81.0,399152000.0,99800,1600000,1200000,19200000,1400000.0,2020.0,Jun,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
308,The Chainsmokers,22600000,14231943358,Music,The Chainsmokers,180,United States,US,Music,246.0,88.0,84.0,81660000.0,20400,326600,245000,3900000,100000.0,2012.0,Sep,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
309,mmoshaya,22600000,17507060680,People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,156.0,1.0,83.0,73829000.0,18500,295300,221500,3500000,100000.0,2010.0,Dec,11.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
310,Sia,22600000,13405849040,Music,Sia,171,United States,US,Music,273.0,88.0,84.0,95253000.0,23800,381000,285800,4600000,,2007.0,Nov,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
311,LeoNata Family,22600000,27084848152,People & Blogs,LeoNata Family,2321,United States,US,People,57.0,87.0,11.0,1174000000.0,293500,4700000,3500000,56300000,1300000.0,2021.0,Sep,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
312,Goldmines Cineplex,22500000,2431154438,Film & Animation,Goldmines Cineplex,3377,India,IN,Film,3793.0,64.0,23.0,48740000.0,12200,195000,146200,2300000,200000.0,2015.0,Sep,12.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
313,Vlad and Niki Arabic,22500000,10613701948,,Vlad and Niki Arabic,526,United States,US,Entertainment,399.0,89.0,84.0,65066000.0,16300,260300,195200,3100000,100000.0,2018.0,Nov,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
314,SSundee,22500000,13835173331,Gaming,SSundee,3315,United States,US,Games,261.0,90.0,21.0,175094000.0,43800,700400,525300,8400000,200000.0,2009.0,Nov,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
315,Paulo Londra,22400000,8040036209,Music,Paulo Londra,58,Argentina,AR,Music,648.0,6.0,85.0,72242000.0,18100,289000,216700,3500000,,2016.0,Aug,8.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
316,Smile Family,22300000,8663830163,People & Blogs,SMILE Family,34,France,FR,Music,3805801.0,3046.0,4509.0,735.0,0,3,2,35,10.0,2019.0,Nov,3.0,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
317,FGTeeV,22300000,24059336857,Gaming,FGTeeV,1724,United States,US,Games,77.0,91.0,22.0,132110000.0,33000,528400,396300,6300000,100000.0,2013.0,May,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
318,Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,370.0,92.0,86.0,139333000.0,34800,557300,418000,6700000,200000.0,2015.0,Sep,25.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
319,Charlie Puth,22000000,9924807127,Music,Charlie Puth,157,United States,US,Music,449.0,94.0,86.0,111500000.0,27900,446000,334500,5400000,100000.0,2009.0,Sep,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
320,Vlad and Niki ESP,22000000,8594440895,,Vlad and Niki ESP,515,United States,US,Entertainment,591.0,93.0,87.0,183871000.0,46000,735500,551600,8800000,200000.0,2018.0,Oct,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
321,Sagawa /���,22000000,18347969186,Entertainment,Sagawa /���,6274,Japan,JP,Entertainment,144.0,3.0,88.0,711254000.0,177800,2800000,2100000,34100000,800000.0,2021.0,Feb,13.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
322,Ben Azelart,21900000,4454917643,Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620.0,94.0,88.0,184946000.0,46200,739800,554800,8900000,500000.0,2014.0,Jun,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
323,Zach Choi ASMR,21900000,5918314128,People & Blogs,Zach Choi ASMR,946,United States,US,People,1069.0,94.0,12.0,234222000.0,58600,936900,702700,11200000,400000.0,2014.0,Jul,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
324,Topper Guild,21900000,15552070846,Comedy,Topper Guild,816,United States,US,Comedy,204.0,91.0,16.0,687028000.0,171800,2700000,2100000,33000000,1900000.0,2014.0,Jul,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
325,Disney Latinoam��,21900000,20657571751,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277.0,2973.0,4085.0,4719.0,1,19,14,227,,2008.0,Apr,7.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
326,Stokes Twins,21800000,4469711607,People & Blogs,Stokes Twins,257,United States,US,People,1610.0,95.0,13.0,197953000.0,49500,791800,593900,9500000,600000.0,2008.0,Apr,11.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
327,National Geographic,21800000,5614621131,Science & Technology,National Geographic,10162,United States,US,Entertainment,1158.0,95.0,89.0,45812000.0,11500,183200,137400,2200000,100000.0,2006.0,May,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
328,Dua Lipa,21800000,11288359365,Music,Dua Lipa,164,United Kingdom,GB,Music,368.0,14.0,87.0,128047000.0,32000,512200,384100,6100000,100000.0,2011.0,Feb,5.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
329,OneDirectionVEVO,21800000,12140232004,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322.0,14.0,87.0,51134000.0,12800,204500,153400,2500000,,2010.0,Dec,4.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
330,Rotana,21800000,19329351143,Music,rotana5018,135,,,Music,926975.0,,2709.0,10571.0,3,42,32,507,100.0,2011.0,Oct,27.0,,,,,,
331,Netflix India,21800000,7780934187,People & Blogs,NETFLIX INDIA,1,,,People,4052308.0,,7665.0,408.0,0,0,0,0,,2017.0,Sep,24.0,,,,,,
332,Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,Sourav Joshi Vlogs,1390,,,People,498.0,,13.0,265336000.0,66300,1100000,796000,12700000,400000.0,2019.0,Feb,19.0,,,,,,
333,ZAMZAM ELECTRONICS TRADING,21700000,8507818877,,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,608.0,4.0,14.0,1598000000.0,399600,6400000,4800000,76700000,3400000.0,2020.0,Dec,19.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
334,DUDU e CAROL,21600000,9597894786,Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,481.0,15.0,90.0,193174000.0,48300,772700,579500,9300000,300000.0,2013.0,Mar,2.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
335,Village Cooking Channel,21600000,5863377051,Howto & Style,Village Cooking Channel,219,India,IN,Howto,1082.0,66.0,9.0,194604000.0,48700,778400,583800,9300000,400000.0,2018.0,Apr,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
336,Eva Bravo Play,21600000,9346383505,Entertainment,Eva Bravo Play,228,United States,US,Entertainment,507.0,96.0,90.0,63919000.0,16000,255700,191800,3100000,,2019.0,May,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
337,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,1081.0,96.0,88.0,113542000.0,28400,454200,340600,5400000,200000.0,2018.0,Apr,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
338,Tlnovelas,21500000,15013096899,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,1936958.0,2063.0,2940.0,15459.0,4,62,46,742,,2014.0,Jan,2.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
339,SMOL,21500000,22065582014,People & Blogs,Claudio,6,,,Music,4057657.0,,5782.0,3.0,0,0,0,0,,2006.0,Apr,2.0,,,,,,
340,invictor,21500000,8409641722,Gaming,INVICTOR,17,Chile,CL,People,4038708.0,2889.0,7518.0,49.0,0,0,0,2,4.0,2016.0,Jul,26.0,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969
341,YOLO,21400000,1573058816,Comedy,YOLO,0,Germany,DE,,4057944.0,3810.0,,,0,0,0,0,5.0,2013.0,Jun,11.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
342,Sidhu Moose Wala,21400000,6264261757,Music,Sidhu Moose Wala,114,India,IN,Music,987.0,67.0,89.0,160690000.0,40200,642800,482100,7700000,500000.0,2017.0,Oct,30.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
343,The Royalty Family,21300000,6269945014,People & Blogs,The Royalty Family,733,United States,US,People,982.0,98.0,15.0,160227000.0,40100,640900,480700,7700000,200000.0,2017.0,Apr,13.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
344,Becky G,21300000,10644857969,Music,Becky G,78,United States,US,Music,396.0,98.0,90.0,103171000.0,25800,412700,309500,5000000,100000.0,2011.0,Sep,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
